Authors,Title,Year,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Affiliations,Authors with affiliations,Abstract,Author Keywords,Publisher
"Fuchs F., Kamal O., Li H., Ahn M., Ryu S.Y.","Pediatric Patient Traumatic Brain Injury Prediction1",2020,,,"9313568","2955","2957",,"10.1109/BIBM49941.2020.9313568","University of Nevada, Reno, Department of Mathematics and Statistics, Reno, United States; Columbia University, Department of Statistics, New York, United States; University of Nevada, Reno, School of Community Health Sciences, Reno, United States","Fuchs, F., University of Nevada, Reno, Department of Mathematics and Statistics, Reno, United States; Kamal, O., University of Nevada, Reno, Department of Mathematics and Statistics, Reno, United States; Li, H., Columbia University, Department of Statistics, New York, United States; Ahn, M., University of Nevada, Reno, Department of Mathematics and Statistics, Reno, United States; Ryu, S.Y., University of Nevada, Reno, School of Community Health Sciences, Reno, United States","Existing Traumatic Brain Injury (TBI) mortality prediction models have not historically accounted for the low mortality rate of pediatric patients, causing class-imbalance problems and undermining classifier prediction performance. We minimize class-imbalance effects by separately implementing case-weighting and subsampling for eight supervised machine learning (ML) techniques, trained and evaluated on pediatric patient National Trauma Data Bank (NTDB) data. The training set consists of pediatric TBI patient records between 2010 and 2014, where records from 2015 are used as the test set. Unweighted models, trained on data modified by Synthetic Minority Over-sampling Technique (SMOTE) and Random Over-sampling Examples (ROSE), included Stacked Autoencoder Deep Neural Network (SAE-DNN), K-Nearest Neighbors (KNN), Naive Bayes Classifier (NB), and Support Vector Machine (SVM). Case-weighted models, trained on standardized data, included Artificial Neural Network (ANN), Extreme Gradient Boosting (XGB), C5.0 Decision Tree (C5.0), and Logistic Regression (LR). Preliminarily, XGB and C5.0 were best able to distinguish between classes. Models trained on SMOTE data maximized metrics accounting for class-imbalance and models trained on ROSE data tended to generally underperform. © 2020 IEEE.","Imbalanced; Machine Learning; Mortality Prediction; Pediatric; TBI","Institute of Electrical and Electronics Engineers Inc."
"Koul N., Manvi S.S.","Ensemble Feature Selection from Cancer Gene Expression Data using Mutual Information and Recursive Feature Elimination",2020,,,"9339518","","",,"10.1109/ICAECC50550.2020.9339518","School of CSE, REVA University, Bangalore, India","Koul, N., School of CSE, REVA University, Bangalore, India; Manvi, S.S., School of CSE, REVA University, Bangalore, India","Availability of high through put gene expression data has enabled computational analysis of it for early diagnosis of diseases like cancer. This data contains expression values of thousands of genes in the genome of an organism. However, this gene expression data is very high dimensional, one dimension each corresponding to one genes in the genome and very few of these genes are associated with a disease. At the same time, the number of samples or observations available is very small as compared to the number of features, also this data suffers from class imbalance. Therefore, the task of selecting the genes that are relevant to the disease being studies is an important task and being researched widely in the computational sciences. In this paper, we have proposed a randomized ensemble method for feature selection from cancer gene expression data using a combination of mutual information and recursive feature elimination. The approach has been applied on Leukemia gene expression dataset. We obtained a classification accuracy of 99% with a gene subset of size 316 genes and with a subset of size 4 the accuracy is 95%. Thus we achieved a dimensionality reduction of 98.5% with 99% accuracy. Comparison with standard methods shows that the proposed method performs better. © 2020 IEEE.","Feature Selection; Gene Expression Data; Machine Learning; Mutual Information; Recursive Feature Elimination","Institute of Electrical and Electronics Engineers Inc."
"Wang J., Fu K., Lu C.-T.","SOSNet: A Graph Convolutional Network Approach to Fine-Grained Cyberbullying Detection",2020,,,"9378065","1699","1708",,"10.1109/BigData50022.2020.9378065","Thomas Jefferson High School for Science and Technology, Alexandria, VA, United States; Virginia Tech, Falls Church, VA, United States","Wang, J., Thomas Jefferson High School for Science and Technology, Alexandria, VA, United States; Fu, K., Virginia Tech, Falls Church, VA, United States; Lu, C.-T., Thomas Jefferson High School for Science and Technology, Alexandria, VA, United States","Amidst the COVID-19 pandemic, cyberbullying has become an even more serious threat. Our work aims to investigate the viability of an automatic multiclass cyberbullying detection model that is able to classify whether a cyberbully is targeting a victim's age, ethnicity, gender, religion, or other quality. Previous literature has not yet explored making fine-grained cyberbullying classifications o f s uch m agnitude, a nd existing cyberbullying datasets suffer from quite severe class imbalances. To combat these challenges, we establish a framework for the automatic generation of balanced data by using a semi-supervised online Dynamic Query Expansion (DQE) process to extract more natural data points of a specific c lass f rom T witter. W e also propose a Graph Convolutional Network (GCN) classifier, using a graph constructed from the thresholded cosine similarities between tweet embeddings. With our DQE-augmented dataset, which we have made publicly available, we compare our GCN model using eight different tweet embedding methods and six other classification models over two sizes of datasets. Our results show that our proposed GCN model matches or exceeds the performance of the baseline models, as indicated by McNemar statistical tests. © 2020 IEEE.","cyberbullying; dynamic query expansion; graph convolutional network; machine learning; social media data mining","Institute of Electrical and Electronics Engineers Inc."
"Bernardo A., Gomes H.M., Montiel J., Pfahringer B., Bifet A., Valle E.D.","C-SMOTE: Continuous Synthetic Minority Oversampling for Evolving Data Streams",2020,,,"9377768","483","492",,"10.1109/BigData50022.2020.9377768","DEIB-Politecnico di Milano, Milano, Italy; University of Waikato, Hamilton, New Zealand","Bernardo, A., DEIB-Politecnico di Milano, Milano, Italy; Gomes, H.M., University of Waikato, Hamilton, New Zealand; Montiel, J., University of Waikato, Hamilton, New Zealand; Pfahringer, B., University of Waikato, Hamilton, New Zealand; Bifet, A., University of Waikato, Hamilton, New Zealand; Valle, E.D., DEIB-Politecnico di Milano, Milano, Italy","Streaming Machine Learning (SML) studies single-pass learning algorithms that update their models one data item at a time given an unbounded and often non-stationary flow of data (a.k.a., in presence of concept drift). Online class imbalance learning is a branch of SML that combines the challenges of both class imbalance and concept drift. In this paper, we investigate the binary classification problem of rebalancing an imbalanced stream of data in the presence of concept drift, accessing one sample at a time. We propose Continuous Synthetic Minority Oversampling Technique (C-SMOTE), a novel rebalancing meta-strategy to pipeline with SML classification algorithms. C-SMOTE is inspired by the popular SMOTE algorithm but operates continuously. We benchmark C-SMOTE pipelines on ten different groups of data streams. We bring empirical evidence that models learnt with C-SMOTE pipelines outperform models trained on imbalanced data stream without losing the ability to deal with concept drifts. Moreover, we show that they outperform other stream balancing techniques from the literature. © 2020 IEEE.","Balancing; Binary Classification; Concept Drift; Streaming data","Institute of Electrical and Electronics Engineers Inc."
"Syed D., Abu-Rub H., Refaat S.S., Xie L.","Detection of Energy Theft in Smart Grids using Electricity Consumption Patterns",2020,,,"9378190","4059","4064",,"10.1109/BigData50022.2020.9378190","Texas Am University, Department of Electrical and Computer Engineering, College station, TX  77843, United States; Texas Am University at Qatar, Doha, Qatar","Syed, D., Texas Am University, Department of Electrical and Computer Engineering, College station, TX  77843, United States; Abu-Rub, H., Texas Am University at Qatar, Doha, Qatar; Refaat, S.S., Texas Am University at Qatar, Doha, Qatar; Xie, L., Texas Am University, Department of Electrical and Computer Engineering, College station, TX  77843, United States","One of the major factors that lead to energy losses for utility distribution systems is electricity or energy theft. Energy theft is tampering with smart meter reading to reduce customer energy usage and reduce electricity bills. A thief customer tends to consume more energy and hence, the theft negatively affects the power supply quality in the form of transformer overload, voltage unbalance, and voltage drop on system buses. Meanwhile, it also causes great economic losses for the business of electric utility. In order to enable efficient energy theft detection, data-driven approaches including utilizing trained deep neural networks are proposed in this paper. The machine learning approaches can detect energy theft involving stealthy connections or meter tampering at the level of smart meters or aggregated levels. In this work, the detection effectiveness of different approaches is evaluated on real case study data at the end consumer level. The challenges of class imbalance and the missing values (around 25% of the whole fields) are addressed in the LSTM-based methodology. In this paper, results are obtained on real energy consumption data to show the higher performance of the proposed solutions compared to previously presented work. © 2020 IEEE.","data analysis; deep learning; energy theft; machine learning; smart meters","Institute of Electrical and Electronics Engineers Inc."
"Branco P.","Exploring the Impact of Resampling Methods for Malware Detection",2020,,,"9378405","3961","3968",,"10.1109/BigData50022.2020.9378405","University of Ottawa, School of Electrical Engineering and Computer Science, Ottawa, ON, Canada","Branco, P., University of Ottawa, School of Electrical Engineering and Computer Science, Ottawa, ON, Canada","Malware detection is a well-known problem with severe consequences in terms of damages and financial losses. The typical imbalance of this domain causes serious problems to the learning algorithms that are not able to focus correctly in the scarce malware cases. Although resampling techniques have shown to be effective, their impact has not yet been studied for the particular domain of malware detection.This paper focus on the evaluation of resampling methods to tackle the malware detection problem under a realistic assumption of malware rarity. Several machine learning-based solutions proposed for this domain use non-public data sets and consider different malware prevalence in the data. This makes difficult the comparison of solutions. We use the freely available NSL-KDD data set which has a rarity associated with the malware cases that resembles a more realistic scenario. Our main goal is to assess the potential advantages of applying resampling techniques in this setting as well as their impact when using different standard learning algorithms. We also carry out an extensive analysis of resampling techniques using different parameters which allows to test the best configuration of these techniques. We explore not only a balanced class scenario but also other class configurations that may be more beneficial to improve the predictive performance of the algorithms.We present a systematic study of the effectiveness of existing resampling approaches for tackling the imbalance problem in malware domains. We show that resampling techniques present an advantage and explore their impact in the predictive accuracy of each class. Finally, we also show that different resampling strategies have a different impact in the importance of the features used by the learning algorithms. © 2020 IEEE.","feature importance; imbalanced domains; malware detection; resampling","Institute of Electrical and Electronics Engineers Inc."
"Zhang W., Liu H., Li P., Han L.","A Multi-task Two-stream Spatiotemporal Convolutional Neural Network for Convective Storm Nowcasting",2020,,,"9377890","3953","3960",,"10.1109/BigData50022.2020.9377890","Ocean University of China, College of Information Science and Technology, Qingdao, China","Zhang, W., Ocean University of China, College of Information Science and Technology, Qingdao, China; Liu, H., Ocean University of China, College of Information Science and Technology, Qingdao, China; Li, P., Ocean University of China, College of Information Science and Technology, Qingdao, China; Han, L., Ocean University of China, College of Information Science and Technology, Qingdao, China","The goal of convective storm nowcasting is local prediction of severe and imminent convective storms. Here, we consider the convective storm nowcasting problem from the perspective of machine learning. First, we use a pixel-wise sampling method to construct spatiotemporal features for nowcasting, and flexibly adjust the proportions of positive and negative samples in the training set to mitigate class-imbalance issues. Second, we employ a concise two-stream convolutional neural network to extract spatial and temporal cues for nowcasting. This simplifies the network structure, reduces the training time requirement, and improves classification accuracy. The two-stream network used both radar and satellite data. In the resulting two-stream, fused convolutional neural network, some of the parameters are entered into a single-stream convolutional neural network, but it can learn the features of many data. Further, considering the relevance of classification and regression tasks, we develop a multi-task learning strategy that predicts the labels used in such tasks. We integrate two-stream multi-task learning into a single convolutional neural network. Given the compact architecture, this network is more efficient and easier to optimize than existing recurrent neural networks. © 2020 IEEE.","Multi-Task; Spatiotemporal Convolutional Neural Network; Storm Nowcasting; Two-Stream","Institute of Electrical and Electronics Engineers Inc."
"Sahu A., Gm H., Gourisaria M.K.","A Dual Approach for Credit Card Fraud Detection using Neural Network and Data Mining Techniques",2020,,,"9342462","","",,"10.1109/INDICON49873.2020.9342462","Kiit, Deemed to Be University, School of Computer Engineering, Bhubaneswar, India","Sahu, A., Kiit, Deemed to Be University, School of Computer Engineering, Bhubaneswar, India; Gm, H., Kiit, Deemed to Be University, School of Computer Engineering, Bhubaneswar, India; Gourisaria, M.K., Kiit, Deemed to Be University, School of Computer Engineering, Bhubaneswar, India","The world is being more and more digitalized with each passing day, making information security a huge concern. Through efficient fraud detection using a robust approach, the banking industry will be able to avert fraudulent transactions and save millions of dollars every year. Each money transaction is crucial and thus, fraudulent transactions need to be detected at any cost. In this paper, we build models to detect fraudulent credit card transactions using five classifiers to find out the best fit classifier for the situation. We use two different techniques to tackle the inherent problem of data imbalance. The first technique uses data resampling technique to increase the number of samples in the minority class, whereas, the second one uses a cost-based approach where the error function incorporates weights of each class. Through the weights, more emphasis can be given to the samples of fraudulent transactions than the normal samples. © 2020 IEEE.","credit card fraud detection; data mining; machine learning; neural networks","Institute of Electrical and Electronics Engineers Inc."
"Khairunnisa S., Suyanto S., Eko Yunanto P.","Removing Noise, Reducing dimension, and Weighting Distance to Enhance k-Nearest Neighbors for Diabetes Classification",2020,,,"9315515","471","475",,"10.1109/ISRITI51436.2020.9315515","School of Computing, Telkom University, Bandung, Indonesia","Khairunnisa, S., School of Computing, Telkom University, Bandung, Indonesia; Suyanto, S., School of Computing, Telkom University, Bandung, Indonesia; Eko Yunanto, P., School of Computing, Telkom University, Bandung, Indonesia","Various methods of machine learning have been implemented in the medical field to classify various diseases, such as diabetes. The k-nearest neighbors (KNN) is one of the most known approaches for predicting diabetes. Many researchers have found by combining KNN with one or more other algorithms may provide a better result. In this paper, a combination of three procedures, removing noise, reducing the dimension, and weighting distance, is proposed to improve a standard voting-based KNN to classify Pima Indians Diabetes Dataset (PIDD) into two classes. First, the noises in the training set are removed using k-means clustering (KMC) to make the voter data in both classes more competent. Second, its dimensional is then reduced to decrease the intra-class data distances but increase the inter-class ones. Two methods of dimensional reduction: principal component analysis (PCA) and autoencoder (AE), are applied to investigate the linearity of the dataset. Since there is an imbalance on the dataset, a proportional weight is incorporated into the distance formula to get the fairness of the voting. A 5-fold cross validation-based evaluation shows that each proposed procedure works very well in enhancing the KNN. KMC is capable of increasing the accuracy of KNN from 81.6% to 86.7%. Combining KMC and PCA improves the KNN accuracy to be 90.9%. Next, a combination of KMC and AE enhances the KNN to gives an accuracy of 97.8%. Combining three proposed procedures of KMC, PCA, and Weighted KNN (WKNN) increases the accuracy to be 94.5%. Finally, the combination of KMC, AE, and WKNN reaches the highest accuracy of 98.3%. The facts that AE produces higher accuracies than PCA inform that the features in the dataset have a high non-linearity. © 2020 IEEE.","autoencoder; diabetes; k-means clustering; k-nearest neighbors; principal component analysis","Institute of Electrical and Electronics Engineers Inc."
"Song Y., Hou J., Song Y., Li Q.","Research Review on Imbalanced Learning Models in Embedded Intelligent Computing",2020,,,"9301551","","",,"10.1109/ICESS49830.2020.9301551","Nanjing University of Science and Technology, School of Cyber Science and Engineering, Nanjing, 210094, China","Song, Y., Nanjing University of Science and Technology, School of Cyber Science and Engineering, Nanjing, 210094, China; Hou, J., Nanjing University of Science and Technology, School of Cyber Science and Engineering, Nanjing, 210094, China; Song, Y., Nanjing University of Science and Technology, School of Cyber Science and Engineering, Nanjing, 210094, China; Li, Q., Nanjing University of Science and Technology, School of Cyber Science and Engineering, Nanjing, 210094, China","Imbalanced data sets are a common phenomenon in embedded intelligent computing. In other words, the class imbalance occurs when the number of examples representing one class is much lower than the ones of the other classes. Hence, one or more classes may be underrepresented in the dataset. However, standard machine learning algorithms are usually biased toward the majority class, since rules correctly predicting those instances are positively weighted in favor of the accuracy metric or the corresponding cost function. As a consequence, minority class instances are more often misclassified than those from the majority one. One of the main issues in imbalanced problems is that usually, the underrepresented class is the class of interest of the problem from the application point of view. Therefore, there are a large number of researches on imbalanced learning. Compared with the binary class imbalanced problem, the multi-class imbalanced problem faces greater challenges, which is attributed to the diversity of class distribution and the insufficient performance of multi-class classifiers. Therefore, imbalanced problems have received more and more attention in recent years. This paper studies the mainstream imbalance algorithms, classifies the current models and algorithms to solve the imbalance problem, analyzes the advantages and disadvantages of various methods, discusses the performance indicators suitable for imbalance problems and their evaluation bias, and summarizes the research trend of algorithms. © 2020 IEEE.","Embedded Intelligent Computing; Imbalance Problem; Research Review","Institute of Electrical and Electronics Engineers Inc."
"Lu N., Wu G., Zhang Z., Zheng Y., Ren Y., Choo K.-K.R.","Cyberbullying detection in social media text based on character-level convolutional neural network with shortcuts",2020,"32","23","e5627","","",,"10.1002/cpe.5627","School of Cyberspace, Hangzhou Dianzi UniversityZhejiang, China; Department of Information Systems and Cyber Security and Department of Electrical and Computer Engineering, The University of Texas at San Antonio, San Antonio, TX, United States","Lu, N., School of Cyberspace, Hangzhou Dianzi UniversityZhejiang, China; Wu, G., School of Cyberspace, Hangzhou Dianzi UniversityZhejiang, China; Zhang, Z., School of Cyberspace, Hangzhou Dianzi UniversityZhejiang, China; Zheng, Y., School of Cyberspace, Hangzhou Dianzi UniversityZhejiang, China; Ren, Y., School of Cyberspace, Hangzhou Dianzi UniversityZhejiang, China; Choo, K.-K.R., Department of Information Systems and Cyber Security and Department of Electrical and Computer Engineering, The University of Texas at San Antonio, San Antonio, TX, United States","As people spend increasingly more time on social networks, cyberbullying has become a social problem that needs to be solved by machine learning methods. Our research focuses on textual cyberbullying detection because text is the most common form of social media. However, the content information in social media is short, noisy, and unstructured with incorrect spellings and symbols, and this impacts the performance of some traditional machine learning methods based on vocabulary knowledge. For this reason, we propose a Char-CNNS (Character-level Convolutional Neural Network with Shortcuts) model to identify whether the text in social media contains cyberbullying. We use characters as the smallest unit of learning, enabling the model to overcome spelling errors and intentional obfuscation in real-world corpora. Shortcuts are utilized to stitch different levels of features to learn more granular bullying signals, and a focal loss function is adopted to overcome the class imbalance problem. We also provide a new Chinese Weibo comment dataset specifically for cyberbullying detection, and experiments are performed on both the Chinese Weibo dataset and the English Tweet dataset. The experimental results show that our approach is competitive with state-of-the-art techniques on cyberbullying detection task. © 2020 John Wiley & Sons, Ltd.","convolutional neural networks; cyberbullying detection; social network; text classification","John Wiley and Sons Ltd"
